id,tournament_id
400510802,NA
400509677,NA
400509676,NA
400509675,NA
400509674,NA
400507884,NA
400507882,NA
400507881,NA
400504872,NA
400510865,NA
400503788,NA
400512194,NA
400512193,NA
400511790,NA
400511583,NA
400510543,NA
400509673,NA
400509175,NA
400505241,NA
400505240,NA
400505063,NA
400507563,NA
400510925,NA
400512861,NA
400512820,NA
400512486,NA
400512455,NA
400512375,NA
400512327,NA
400512270,NA
400512192,NA
400511745,NA
400511724,NA
400511644,NA
400511332,NA
400511310,NA
400510689,NA
400510688,NA
400510380,NA
400510379,NA
400510378,NA
400510377,NA
400510192,NA
400509523,NA
400509520,NA
400509519,NA
400509176,NA
400509174,NA
400509173,NA
400509172,NA
400507562,NA
400507561,NA
400507560,NA
400512191,NA
400512595,NA
400511704,NA
400510381,NA
400510191,NA
400510190,NA
400509369,NA
400505062,NA
400510687,NA
400510562,NA
400511397,NA
400509846,NA
400509848,NA
400509845,NA
400509847,NA
400505379,NA
400505377,NA
400505378,NA
400505376,NA
400511474,NA
400511473,NA
400511472,NA
400511471,NA
400511128,NA
400511127,NA
400509844,NA
400511251,NA
400511227,NA
400507878,NA
400505905,NA
400505904,NA
400505903,NA
400505902,NA
400508469,NA
400511191,NA
400511033,NA
400509672,NA
400509671,NA
400509670,NA
400509669,NA
400507880,NA
400507879,NA
400508468,NA
400508470,NA
400509668,NA
400505239,NA
400505238,NA
400505237,NA
400505236,NA
400504870,NA
400508836,NA
400508837,NA
400508841,NA
400508467,NA
400508838,NA
400508465,NA
400512474,NA
400512424,NA
400512308,NA
400512288,NA
400511762,NA
400511126,NA
400511125,NA
400510585,NA
400510525,NA
400510376,NA
400509925,NA
400509368,NA
400509367,NA
400509171,NA
400509170,NA
400509169,NA
400509168,NA
400509167,NA
400508840,NA
400508839,NA
400508835,NA
400508466,NA
400507559,NA
400505061,NA
400505060,NA
400507558,NA
400507556,NA
400507555,NA
400507554,NA
400511018,NA
400508464,NA
400510374,NA
400507557,NA
400507553,NA
400505059,NA
400510375,NA
400505058,NA
400532454,NA
400532455,NA
400511582,NA
400512189,NA
400511581,NA
400511580,NA
400511579,NA
400511578,NA
400509843,NA
400503785,NA
400503787,NA
400512345,NA
400512188,NA
400512187,NA
400511780,NA
400510976,NA
400510883,NA
400510864,NA
400510561,NA
400510542,NA
400509518,NA
400503786,NA
400512186,NA
400512185,NA
400511744,NA
400503784,NA
400512860,NA
400512831,NA
400512574,NA
